city,date,average,minimum,maximum
Hoorn,20150101,59,52,68
Hoorn,20150102,77,65,105
Hoorn,20150103,63,55,72
Hoorn,20150104,55,24,79
Hoorn,20150105,51,31,63
Hoorn,20150106,46,30,73
Hoorn,20150107,51,14,71
Hoorn,20150108,69,48,85
Hoorn,20150109,84,59,107
Hoorn,20150110,83,54,111
Hoorn,20150111,64,24,76
Hoorn,20150112,77,51,91
Hoorn,20150113,65,17,91
Hoorn,20150114,45,27,59
Hoorn,20150115,69,49,85
Hoorn,20150116,59,40,77
Hoorn,20150117,37,5,58
Hoorn,20150118,31,9,42
Hoorn,20150119,18,-24,68
Hoorn,20150120,19,10,35
Hoorn,20150121,6,-1,20
Hoorn,20150122,0,-23,21
Hoorn,20150123,1,-18,28
Hoorn,20150124,43,-1,68
Hoorn,20150125,53,41,65
Hoorn,20150126,59,45,77
Hoorn,20150127,56,17,76
Hoorn,20150128,51,32,62
Hoorn,20150129,25,3,45
Hoorn,20150130,20,-21,50
Hoorn,20150131,22,-5,56
Hoorn,20150201,35,15,63
Hoorn,20150202,35,15,59
Hoorn,20150203,39,17,61
Hoorn,20150204,19,-10,40
Hoorn,20150205,3,-17,14
Hoorn,20150206,4,-32,26
Hoorn,20150207,46,-17,65
Hoorn,20150208,57,50,69
Hoorn,20150209,61,55,72
Hoorn,20150210,60,50,71
Hoorn,20150211,41,32,55
Hoorn,20150212,30,24,39
Hoorn,20150213,43,21,64
Hoorn,20150214,50,31,75
Hoorn,20150215,21,6,35
Hoorn,20150216,4,-22,26
Hoorn,20150217,35,-5,75
Hoorn,20150218,41,-4,75
Hoorn,20150219,39,22,53
Hoorn,20150220,44,35,63
Hoorn,20150221,34,11,61
Hoorn,20150222,34,-2,64
Hoorn,20150223,52,21,74
Hoorn,20150224,55,39,78
Hoorn,20150225,39,1,63
Hoorn,20150226,50,22,67
Hoorn,20150227,45,5,72
Hoorn,20150228,49,26,63
Hoorn,20150301,68,52,83
Hoorn,20150302,51,32,75
Hoorn,20150303,39,18,63
Hoorn,20150304,55,37,76
Hoorn,20150305,61,42,86
Hoorn,20150306,66,55,86
Hoorn,20150307,74,58,93
Hoorn,20150308,74,52,96
Hoorn,20150309,64,5,89
Hoorn,20150310,65,32,87
Hoorn,20150311,43,-20,89
Hoorn,20150312,63,33,104
Hoorn,20150313,38,13,64
Hoorn,20150314,46,26,57
Hoorn,20150315,55,39,78
Hoorn,20150316,72,51,114
Hoorn,20150317,67,32,130
Hoorn,20150318,62,27,88
Hoorn,20150319,65,45,88
Hoorn,20150320,50,42,63
Hoorn,20150321,61,42,90
Hoorn,20150322,37,-1,58
Hoorn,20150323,54,31,82
Hoorn,20150324,66,54,88
Hoorn,20150325,53,46,61
Hoorn,20150326,52,11,70
Hoorn,20150327,59,6,86
Hoorn,20150328,67,5,88
Hoorn,20150329,76,55,91
Hoorn,20150330,67,54,82
Hoorn,20150331,73,40,96
Hoorn,20150401,58,30,79
Hoorn,20150402,57,19,78
Hoorn,20150403,58,17,90
Hoorn,20150404,54,35,79
Hoorn,20150405,59,22,82
Hoorn,20150406,67,15,114
Hoorn,20150407,59,6,94
Hoorn,20150408,73,50,102
Hoorn,20150409,75,40,124
Hoorn,20150410,83,29,129
Hoorn,20150411,90,59,121
Hoorn,20150412,90,66,115
Hoorn,20150413,74,38,104
Hoorn,20150414,105,76,129
Hoorn,20150415,103,68,145
Hoorn,20150416,73,39,106
Hoorn,20150417,74,51,98
Hoorn,20150418,74,57,95
Hoorn,20150419,81,49,119
Hoorn,20150420,82,37,119
Hoorn,20150421,79,61,99
Hoorn,20150422,81,68,105
Hoorn,20150423,67,9,103
Hoorn,20150424,95,7,135
Hoorn,20150425,106,89,114
Hoorn,20150426,68,27,91
Hoorn,20150427,52,-19,89
Hoorn,20150428,68,-24,101
Hoorn,20150429,88,58,126
Hoorn,20150430,85,54,119
Hoorn,20150501,77,48,103
Hoorn,20150502,72,18,105
Hoorn,20150503,102,58,136
Hoorn,20150504,125,102,150
Hoorn,20150505,140,118,182
Hoorn,20150506,120,94,145
Hoorn,20150507,104,72,130
Hoorn,20150508,127,76,160
Hoorn,20150509,117,87,141
Hoorn,20150510,117,76,157
Hoorn,20150511,149,120,194
Hoorn,20150512,121,90,156
Hoorn,20150513,107,83,133
Hoorn,20150514,87,57,104
Hoorn,20150515,77,27,101
Hoorn,20150516,104,53,133
Hoorn,20150517,111,90,135
Hoorn,20150518,106,84,126
Hoorn,20150519,100,57,128
Hoorn,20150520,96,42,128
Hoorn,20150521,116,85,144
Hoorn,20150522,135,110,167
Hoorn,20150523,102,74,123
Hoorn,20150524,109,36,150
Hoorn,20150525,107,90,132
Hoorn,20150526,101,54,128
Hoorn,20150527,124,84,165
Hoorn,20150528,120,91,144
Hoorn,20150529,115,87,144
Hoorn,20150530,104,54,138
Hoorn,20150531,118,90,138
Hoorn,20150601,122,84,153
Hoorn,20150602,137,115,154
Hoorn,20150603,121,52,155
Hoorn,20150604,131,32,184
Hoorn,20150605,175,120,243
Hoorn,20150606,141,114,166
Hoorn,20150607,119,64,153
Hoorn,20150608,116,95,139
Hoorn,20150609,108,91,131
Hoorn,20150610,124,92,152
Hoorn,20150611,134,84,175
Hoorn,20150612,174,117,233
Hoorn,20150613,151,125,185
Hoorn,20150614,122,95,141
Hoorn,20150615,114,85,145
Hoorn,20150616,116,51,151
Hoorn,20150617,146,92,179
Hoorn,20150618,131,114,156
Hoorn,20150619,125,106,155
Hoorn,20150620,127,106,154
Hoorn,20150621,135,99,181
Hoorn,20150622,122,80,153
Hoorn,20150623,122,109,143
Hoorn,20150624,137,87,182
Hoorn,20150625,165,128,207
Hoorn,20150626,172,121,217
Hoorn,20150627,150,82,186
Hoorn,20150628,153,77,201
Hoorn,20150629,158,92,200
Hoorn,20150630,182,86,235
Hoorn,20150701,230,151,301
Hoorn,20150702,230,185,314
Hoorn,20150703,203,164,242
Hoorn,20150704,211,154,275
Hoorn,20150705,183,139,229
Hoorn,20150706,168,130,195
Hoorn,20150707,188,137,233
Hoorn,20150708,152,125,184
Hoorn,20150709,132,86,163
Hoorn,20150710,160,101,197
Hoorn,20150711,183,132,236
Hoorn,20150712,168,139,197
Hoorn,20150713,167,112,200
Hoorn,20150714,157,104,177
Hoorn,20150715,158,111,190
Hoorn,20150716,170,153,201
Hoorn,20150717,187,154,221
Hoorn,20150718,164,120,196
Hoorn,20150719,156,102,194
Hoorn,20150720,169,85,210
Hoorn,20150721,187,167,217
Hoorn,20150722,181,153,211
Hoorn,20150723,157,109,194
Hoorn,20150724,172,93,205
Hoorn,20150725,159,128,213
Hoorn,20150726,148,125,190
Hoorn,20150727,160,135,184
Hoorn,20150728,153,134,183
Hoorn,20150729,137,118,163
Hoorn,20150730,140,120,166
Hoorn,20150731,139,79,173
Hoorn,20150801,156,114,191
Hoorn,20150802,178,125,217
Hoorn,20150803,194,149,248
Hoorn,20150804,177,160,197
Hoorn,20150805,184,160,216
Hoorn,20150806,193,131,257
Hoorn,20150807,178,113,220
Hoorn,20150808,157,102,186
Hoorn,20150809,175,103,219
Hoorn,20150810,188,151,224
Hoorn,20150811,183,149,210
Hoorn,20150812,169,146,196
Hoorn,20150813,191,145,222
Hoorn,20150814,201,177,238
Hoorn,20150815,186,166,207
Hoorn,20150816,156,133,171
Hoorn,20150817,166,135,181
Hoorn,20150818,168,152,184
Hoorn,20150819,173,140,199
Hoorn,20150820,190,153,224
Hoorn,20150821,199,171,232
Hoorn,20150822,210,168,249
Hoorn,20150823,201,170,238
Hoorn,20150824,178,142,211
Hoorn,20150825,169,144,190
Hoorn,20150826,187,161,209
Hoorn,20150827,165,141,180
Hoorn,20150828,165,113,194
Hoorn,20150829,169,147,201
Hoorn,20150830,175,137,205
Hoorn,20150831,179,160,196
Hoorn,20150901,156,137,178
Hoorn,20150902,143,118,175
Hoorn,20150903,133,107,161
Hoorn,20150904,149,133,177
Hoorn,20150905,139,117,160
Hoorn,20150906,136,113,160
Hoorn,20150907,146,133,169
Hoorn,20150908,140,96,166
Hoorn,20150909,136,73,175
Hoorn,20150910,145,116,173
Hoorn,20150911,148,116,175
Hoorn,20150912,147,114,175
Hoorn,20150913,160,142,176
Hoorn,20150914,155,132,193
Hoorn,20150915,134,114,155
Hoorn,20150916,142,117,168
Hoorn,20150917,149,125,174
Hoorn,20150918,140,93,174
Hoorn,20150919,142,79,170
Hoorn,20150920,141,98,173
Hoorn,20150921,149,120,176
Hoorn,20150922,123,54,161
Hoorn,20150923,120,48,167
Hoorn,20150924,133,91,149
Hoorn,20150925,120,78,165
Hoorn,20150926,112,62,162
Hoorn,20150927,116,53,162
Hoorn,20150928,123,57,165
Hoorn,20150929,122,73,167
Hoorn,20150930,122,88,163
Hoorn,20151001,114,71,164
Hoorn,20151002,114,35,156
Hoorn,20151003,115,75,150
Hoorn,20151004,122,62,172
Hoorn,20151005,135,102,164
Hoorn,20151006,140,126,154
Hoorn,20151007,151,143,168
Hoorn,20151008,135,120,154
Hoorn,20151009,129,99,155
Hoorn,20151010,112,74,137
Hoorn,20151011,77,54,99
Hoorn,20151012,63,42,85
Hoorn,20151013,71,45,99
Hoorn,20151014,76,52,97
Hoorn,20151015,81,29,110
Hoorn,20151016,94,75,116
Hoorn,20151017,94,61,107
Hoorn,20151018,111,73,132
Hoorn,20151019,119,103,144
Hoorn,20151020,107,67,135
Hoorn,20151021,105,56,125
Hoorn,20151022,126,96,145
Hoorn,20151023,105,58,136
Hoorn,20151024,113,106,122
Hoorn,20151025,100,57,136
Hoorn,20151026,100,77,138
Hoorn,20151027,86,75,98
Hoorn,20151028,86,68,100
Hoorn,20151029,102,81,118
Hoorn,20151030,98,61,121
Hoorn,20151031,86,48,117
Hoorn,20151101,92,40,116
Hoorn,20151102,74,67,87
Hoorn,20151103,85,56,121
Hoorn,20151104,105,70,122
Hoorn,20151105,117,108,129
Hoorn,20151106,131,120,148
Hoorn,20151107,137,105,154
Hoorn,20151108,116,50,144
Hoorn,20151109,123,96,147
Hoorn,20151110,141,135,150
Hoorn,20151111,135,129,140
Hoorn,20151112,127,113,141
Hoorn,20151113,107,58,132
Hoorn,20151114,94,70,126
Hoorn,20151115,136,125,145
Hoorn,20151116,120,100,143
Hoorn,20151117,118,96,143
Hoorn,20151118,116,88,130
Hoorn,20151119,108,80,126
Hoorn,20151120,76,41,104
Hoorn,20151121,57,17,75
Hoorn,20151122,53,16,72
Hoorn,20151123,52,16,70
Hoorn,20151124,60,49,77
Hoorn,20151125,73,49,87
Hoorn,20151126,69,37,99
Hoorn,20151127,68,64,73
Hoorn,20151128,74,61,99
Hoorn,20151129,95,68,111
Hoorn,20151130,79,56,116
Hoorn,20151201,87,59,116
Hoorn,20151202,100,94,114
Hoorn,20151203,90,82,99
Hoorn,20151204,92,80,102
Hoorn,20151205,94,89,103
Hoorn,20151206,101,80,115
Hoorn,20151207,90,61,98
Hoorn,20151208,92,83,99
Hoorn,20151209,84,71,94
Hoorn,20151210,79,71,85
Hoorn,20151211,80,68,93
Hoorn,20151212,81,57,115
Hoorn,20151213,66,21,94
Hoorn,20151214,67,57,74
Hoorn,20151215,62,38,75
Hoorn,20151216,89,66,109
Hoorn,20151217,102,92,111
Hoorn,20151218,98,87,110
Hoorn,20151219,102,90,110
Hoorn,20151220,104,96,112
Hoorn,20151221,96,87,119
Hoorn,20151222,109,88,119
Hoorn,20151223,95,83,117
Hoorn,20151224,88,75,111
Hoorn,20151225,86,67,116
Hoorn,20151226,114,108,120
Hoorn,20151227,98,79,113
Hoorn,20151228,95,84,102
Hoorn,20151229,78,62,87
Hoorn,20151230,72,58,86
Hoorn,20151231,76,60,98
Twenthe,20150101,27,6,42
Twenthe,20150102,59,34,86
Twenthe,20150103,34,22,44
Twenthe,20150104,29,0,70
Twenthe,20150105,21,1,40
Twenthe,20150106,34,18,53
Twenthe,20150107,38,14,64
Twenthe,20150108,56,27,77
Twenthe,20150109,85,55,132
Twenthe,20150110,93,38,131
Twenthe,20150111,47,25,64
Twenthe,20150112,76,59,96
Twenthe,20150113,82,63,99
Twenthe,20150114,38,23,66
Twenthe,20150115,77,42,96
Twenthe,20150116,52,26,77
Twenthe,20150117,22,-13,55
Twenthe,20150118,19,4,33
Twenthe,20150119,9,2,21
Twenthe,20150120,6,-5,20
Twenthe,20150121,-10,-26,17
Twenthe,20150122,-11,-36,4
Twenthe,20150123,-14,-31,2
Twenthe,20150124,5,-15,38
Twenthe,20150125,17,-19,33
Twenthe,20150126,40,26,67
Twenthe,20150127,41,16,65
Twenthe,20150128,40,20,61
Twenthe,20150129,12,2,32
Twenthe,20150130,6,0,20
Twenthe,20150131,11,-8,27
Twenthe,20150201,9,-6,26
Twenthe,20150202,12,-9,43
Twenthe,20150203,6,-33,39
Twenthe,20150204,-15,-54,30
Twenthe,20150205,-15,-44,10
Twenthe,20150206,-14,-46,21
Twenthe,20150207,2,-68,43
Twenthe,20150208,37,9,51
Twenthe,20150209,56,46,71
Twenthe,20150210,53,43,66
Twenthe,20150211,31,-28,46
Twenthe,20150212,12,-20,28
Twenthe,20150213,36,-13,92
Twenthe,20150214,61,22,104
Twenthe,20150215,13,-11,51
Twenthe,20150216,17,-26,81
Twenthe,20150217,14,-38,53
Twenthe,20150218,7,-23,45
Twenthe,20150219,27,-2,51
Twenthe,20150220,48,17,60
Twenthe,20150221,30,2,57
Twenthe,20150222,18,-14,41
Twenthe,20150223,41,11,81
Twenthe,20150224,45,23,73
Twenthe,20150225,44,6,87
Twenthe,20150226,65,34,98
Twenthe,20150227,47,-11,87
Twenthe,20150228,42,-13,83
Twenthe,20150301,74,46,112
Twenthe,20150302,44,14,89
Twenthe,20150303,30,11,56
Twenthe,20150304,39,12,74
Twenthe,20150305,46,-1,92
Twenthe,20150306,55,31,87
Twenthe,20150307,80,33,126
Twenthe,20150308,97,35,168
Twenthe,20150309,81,33,117
Twenthe,20150310,74,-10,123
Twenthe,20150311,21,-23,86
Twenthe,20150312,44,-44,117
Twenthe,20150313,33,-20,84
Twenthe,20150314,34,-18,53
Twenthe,20150315,53,40,75
Twenthe,20150316,71,21,126
Twenthe,20150317,79,-2,164
Twenthe,20150318,73,-13,163
Twenthe,20150319,50,-13,92
Twenthe,20150320,24,-19,77
Twenthe,20150321,56,29,96
Twenthe,20150322,32,-25,77
Twenthe,20150323,40,-30,112
Twenthe,20150324,50,-31,114
Twenthe,20150325,61,42,84
Twenthe,20150326,53,34,86
Twenthe,20150327,63,27,91
Twenthe,20150328,70,-5,112
Twenthe,20150329,89,65,109
Twenthe,20150330,63,29,93
Twenthe,20150331,73,36,107
Twenthe,20150401,50,16,80
Twenthe,20150402,50,26,86
Twenthe,20150403,58,19,102
Twenthe,20150404,42,-15,94
Twenthe,20150405,50,-28,118
Twenthe,20150406,60,-10,116
Twenthe,20150407,71,-11,130
Twenthe,20150408,89,54,137
Twenthe,20150409,110,21,190
Twenthe,20150410,121,31,204
Twenthe,20150411,100,42,164
Twenthe,20150412,103,38,152
Twenthe,20150413,77,20,134
Twenthe,20150414,116,21,208
Twenthe,20150415,144,68,229
Twenthe,20150416,93,64,134
Twenthe,20150417,75,20,132
Twenthe,20150418,79,-9,149
Twenthe,20150419,77,-14,149
Twenthe,20150420,107,27,190
Twenthe,20150421,95,7,193
Twenthe,20150422,82,17,141
Twenthe,20150423,84,13,156
Twenthe,20150424,121,12,204
Twenthe,20150425,118,72,155
Twenthe,20150426,111,67,165
Twenthe,20150427,79,-4,137
Twenthe,20150428,51,-28,117
Twenthe,20150429,96,15,141
Twenthe,20150430,93,32,144
Twenthe,20150501,77,20,135
Twenthe,20150502,88,-1,154
Twenthe,20150503,132,56,188
Twenthe,20150504,155,113,197
Twenthe,20150505,159,94,245
Twenthe,20150506,122,96,173
Twenthe,20150507,111,61,159
Twenthe,20150508,132,64,190
Twenthe,20150509,138,91,170
Twenthe,20150510,127,68,178
Twenthe,20150511,177,95,252
Twenthe,20150512,145,91,207
Twenthe,20150513,120,44,185
Twenthe,20150514,99,45,149
Twenthe,20150515,95,34,158
Twenthe,20150516,84,28,141
Twenthe,20150517,107,30,167
Twenthe,20150518,116,18,173
Twenthe,20150519,102,57,147
Twenthe,20150520,97,53,152
Twenthe,20150521,108,43,171
Twenthe,20150522,142,52,205
Twenthe,20150523,117,54,155
Twenthe,20150524,125,13,197
Twenthe,20150525,124,91,169
Twenthe,20150526,104,46,145
Twenthe,20150527,134,82,178
Twenthe,20150528,121,39,168
Twenthe,20150529,115,34,171
Twenthe,20150530,101,30,160
Twenthe,20150531,131,39,189
Twenthe,20150601,124,74,168
Twenthe,20150602,155,123,188
Twenthe,20150603,141,65,183
Twenthe,20150604,155,45,219
Twenthe,20150605,227,130,319
Twenthe,20150606,164,64,211
Twenthe,20150607,136,44,206
Twenthe,20150608,114,39,184
Twenthe,20150609,116,44,169
Twenthe,20150610,154,70,219
Twenthe,20150611,173,82,241
Twenthe,20150612,207,102,278
Twenthe,20150613,190,158,223
Twenthe,20150614,148,117,177
Twenthe,20150615,127,53,185
Twenthe,20150616,98,27,156
Twenthe,20150617,152,30,218
Twenthe,20150618,149,109,191
Twenthe,20150619,119,96,157
Twenthe,20150620,120,86,150
Twenthe,20150621,135,96,174
Twenthe,20150622,116,82,155
Twenthe,20150623,114,63,142
Twenthe,20150624,144,102,201
Twenthe,20150625,183,95,246
Twenthe,20150626,201,138,253
Twenthe,20150627,176,99,225
Twenthe,20150628,168,74,220
Twenthe,20150629,187,118,247
Twenthe,20150630,201,97,266
Twenthe,20150701,250,154,319
Twenthe,20150702,272,195,361
Twenthe,20150703,245,182,300
Twenthe,20150704,265,185,343
Twenthe,20150705,205,153,298
Twenthe,20150706,185,131,241
Twenthe,20150707,214,124,286
Twenthe,20150708,158,124,184
Twenthe,20150709,125,52,177
Twenthe,20150710,151,48,224
Twenthe,20150711,205,133,279
Twenthe,20150712,172,144,202
Twenthe,20150713,169,158,195
Twenthe,20150714,182,134,231
Twenthe,20150715,179,123,221
Twenthe,20150716,196,153,250
Twenthe,20150717,231,168,296
Twenthe,20150718,181,114,237
Twenthe,20150719,158,116,198
Twenthe,20150720,180,80,236
Twenthe,20150721,211,145,260
Twenthe,20150722,193,135,252
Twenthe,20150723,172,108,225
Twenthe,20150724,191,119,257
Twenthe,20150725,154,114,209
Twenthe,20150726,150,95,215
Twenthe,20150727,160,132,192
Twenthe,20150728,154,132,200
Twenthe,20150729,135,106,166
Twenthe,20150730,139,89,193
Twenthe,20150731,134,76,193
Twenthe,20150801,157,70,233
Twenthe,20150802,179,72,246
Twenthe,20150803,239,154,322
Twenthe,20150804,170,104,199
Twenthe,20150805,182,83,250
